Model Size,Model Type,Value,value
7.1,bloom-seen 0s,24,4.6
0.56,bloom-seen 0s,25,7.0
1.1,bloom-seen 0s,25,6.4
1.7,bloom-seen 0s,25,22.2
3.0,bloom-seen 0s,25,25.5
7.1,bloom-seen 0s,25,41.8
0.56,bloom-seen 0s,26,0.6
1.1,bloom-seen 0s,26,0.5
1.7,bloom-seen 0s,26,0.6
3.0,bloom-seen 0s,26,1.0
7.1,bloom-seen 0s,26,1.7
0.56,bloom-seen 0s,27,0.8
1.1,bloom-seen 0s,27,0.6
1.7,bloom-seen 0s,27,0.7
3.0,bloom-seen 0s,27,0.8
7.1,bloom-seen 0s,27,1.7
0.56,bloom-seen 0s,28,0.5
1.1,bloom-seen 0s,28,0.7
1.7,bloom-seen 0s,28,0.5
3.0,bloom-seen 0s,28,0.6
7.1,bloom-seen 0s,28,1.6
0.56,bloom-seen 0s,29,3.8
1.1,bloom-seen 0s,29,5.3
1.7,bloom-seen 0s,29,12.5
3.0,bloom-seen 0s,29,16.7
7.1,bloom-seen 0s,29,23.4
0.56,bloom-seen 0s,30,0.7
1.1,bloom-seen 0s,30,0.7
1.7,bloom-seen 0s,30,2.4
3.0,bloom-seen 0s,30,3.7
7.1,bloom-seen 0s,30,15.6
0.56,bloom-seen 0s,31,0.2
1.1,bloom-seen 0s,31,1.1
1.7,bloom-seen 0s,31,2.5
3.0,bloom-seen 0s,31,2.9
7.1,bloom-seen 0s,31,6.9
0.56,bloom-seen 0s,32,0.3
1.1,bloom-seen 0s,32,0.9
1.7,bloom-seen 0s,32,2.0
3.0,bloom-seen 0s,32,2.1
7.1,bloom-seen 0s,32,7.3
0.56,bloom-seen 0s,33,0.4
1.1,bloom-seen 0s,33,0.5
1.7,bloom-seen 0s,33,0.4
3.0,bloom-seen 0s,33,0.6
7.1,bloom-seen 0s,33,1.3
0.56,bloom-seen 0s,34,0.6
1.1,bloom-seen 0s,34,0.8
1.7,bloom-seen 0s,34,0.7
3.0,bloom-seen 0s,34,1.1
7.1,bloom-seen 0s,34,1.2
0.56,bloom-seen 0s,35,0.6
1.1,bloom-seen 0s,35,0.5
1.7,bloom-seen 0s,35,0.5
3.0,bloom-seen 0s,35,0.8
7.1,bloom-seen 0s,35,1.6
0.56,bloom-seen 0s,36,0.4
1.1,bloom-seen 0s,36,0.6
1.7,bloom-seen 0s,36,2.9
3.0,bloom-seen 0s,36,3.9
7.1,bloom-seen 0s,36,8.7
0.56,bloom-seen 0s,37,2.5
1.1,bloom-seen 0s,37,1.7
1.7,bloom-seen 0s,37,9.2
3.0,bloom-seen 0s,37,14.9
7.1,bloom-seen 0s,37,22.5
0.56,bloom-seen 0s,38,0.4
1.1,bloom-seen 0s,38,0.5
1.7,bloom-seen 0s,38,0.7
3.0,bloom-seen 0s,38,1.1
7.1,bloom-seen 0s,38,1.7
0.56,bloom-seen 0s,39,0.4
1.1,bloom-seen 0s,39,1.1
1.7,bloom-seen 0s,39,0.7
3.0,bloom-seen 0s,39,1.0
7.1,bloom-seen 0s,39,1.6
0.56,bloom-seen 0s,40,0.4
1.1,bloom-seen 0s,40,0.4
1.7,bloom-seen 0s,40,0.7
3.0,bloom-seen 0s,40,1.4
7.1,bloom-seen 0s,40,1.7
0.56,bloom-seen 0s,41,0.2
1.1,bloom-seen 0s,41,2.8
1.7,bloom-seen 0s,41,1.6
3.0,bloom-seen 0s,41,0.0
7.1,bloom-seen 0s,41,0.0
0.56,bloom-seen 0s,42,0.0
1.1,bloom-seen 0s,42,3.3
1.7,bloom-seen 0s,42,1.5
3.0,bloom-seen 0s,42,0.0
7.1,bloom-seen 0s,42,0.5
0.56,bloom-seen 0s,43,0.5
1.1,bloom-seen 0s,43,0.7
1.7,bloom-seen 0s,43,0.4
3.0,bloom-seen 0s,43,0.5
7.1,bloom-seen 0s,43,1.4
0.564,xglm-seen 0s,0,0.6
1.7,xglm-seen 0s,0,11.8
2.9,xglm-seen 0s,0,13.3
7.5,xglm-seen 0s,0,23.1
0.564,xglm-seen 0s,1,1.1
1.7,xglm-seen 0s,1,7.3
2.9,xglm-seen 0s,1,10.0
7.5,xglm-seen 0s,1,17.9
0.564,xglm-seen 0s,2,1.8
1.7,xglm-seen 0s,2,23.5
2.9,xglm-seen 0s,2,29.2
7.5,xglm-seen 0s,2,33.6
0.564,xglm-seen 0s,3,3.2
1.7,xglm-seen 0s,3,28.1
2.9,xglm-seen 0s,3,31.0
7.5,xglm-seen 0s,3,37.2
0.564,xglm-seen 0s,4,3.2
1.7,xglm-seen 0s,4,23.4
2.9,xglm-seen 0s,4,29.5
7.5,xglm-seen 0s,4,35.4
0.564,xglm-seen 0s,5,0.8
1.7,xglm-seen 0s,5,17.8
2.9,xglm-seen 0s,5,23.0
7.5,xglm-seen 0s,5,27.5
0.564,xglm-seen 0s,6,2.2
1.7,xglm-seen 0s,6,18.1
2.9,xglm-seen 0s,6,24.7
7.5,xglm-seen 0s,6,27.6
0.564,xglm-seen 0s,7,2.9
1.7,xglm-seen 0s,7,10.3
2.9,xglm-seen 0s,7,16.3
7.5,xglm-seen 0s,7,18.4
0.564,xglm-seen 0s,8,3.0
1.7,xglm-seen 0s,8,16.8
2.9,xglm-seen 0s,8,22.6
7.5,xglm-seen 0s,8,25.4
0.564,xglm-seen 0s,9,9.2
1.7,xglm-seen 0s,9,25.5
2.9,xglm-seen 0s,9,30.9
7.5,xglm-seen 0s,9,37.1
0.564,xglm-seen 0s,10,5.6
1.7,xglm-seen 0s,10,19.8
2.9,xglm-seen 0s,10,25.2
7.5,xglm-seen 0s,10,28.2
0.564,xglm-seen 0s,11,0.8
1.7,xglm-seen 0s,11,10.6
2.9,xglm-seen 0s,11,15.7
7.5,xglm-seen 0s,11,22.5
0.564,xglm-seen 0s,12,2.0
1.7,xglm-seen 0s,12,20.3
2.9,xglm-seen 0s,12,26.3
7.5,xglm-seen 0s,12,31.7
0.564,xglm-seen 0s,13,3.1
1.7,xglm-seen 0s,13,19.6
2.9,xglm-seen 0s,13,22.4
7.5,xglm-seen 0s,13,27.4
0.564,xglm-seen 0s,14,0.0
1.7,xglm-seen 0s,14,7.2
2.9,xglm-seen 0s,14,9.9
7.5,xglm-seen 0s,14,14.1
0.564,xglm-seen 0s,15,0.5
1.7,xglm-seen 0s,15,8.4
2.9,xglm-seen 0s,15,8.5
7.5,xglm-seen 0s,15,15.2
0.564,xglm-seen 0s,16,0.7
1.7,xglm-seen 0s,16,4.1
2.9,xglm-seen 0s,16,4.7
7.5,xglm-seen 0s,16,10.3
0.564,xglm-seen 0s,17,2.7
1.7,xglm-seen 0s,17,29.1
2.9,xglm-seen 0s,17,36.1
7.5,xglm-seen 0s,17,39.8
0.564,xglm-seen 0s,18,0.9
1.7,xglm-seen 0s,18,2.3
2.9,xglm-seen 0s,18,2.7
7.5,xglm-seen 0s,18,3.8
0.564,xglm-seen 0s,19,0.5
1.7,xglm-seen 0s,19,18.2
2.9,xglm-seen 0s,19,22.6
7.5,xglm-seen 0s,19,27.6
0.564,xglm-seen 0s,20,4.5
1.7,xglm-seen 0s,20,18.3
2.9,xglm-seen 0s,20,19.7
7.5,xglm-seen 0s,20,24.8
0.564,xglm-seen 0s,21,2.2
1.7,xglm-seen 0s,21,17.1
2.9,xglm-seen 0s,21,21.5
7.5,xglm-seen 0s,21,28.3
0.564,xglm-seen 0s,22,0.6
1.7,xglm-seen 0s,22,5.7
2.9,xglm-seen 0s,22,9.3
7.5,xglm-seen 0s,22,12.5
0.564,xglm-seen 0s,23,0.5
1.7,xglm-seen 0s,23,6.6
2.9,xglm-seen 0s,23,8.5
7.5,xglm-seen 0s,23,15.7
0.564,xglm-seen 0s,24,0.3
1.7,xglm-seen 0s,24,10.3
2.9,xglm-seen 0s,24,10.0
7.5,xglm-seen 0s,24,18.9
0.564,xglm-seen 0s,25,0.8
1.7,xglm-seen 0s,25,9.2
2.9,xglm-seen 0s,25,14.7
7.5,xglm-seen 0s,25,20.1
0.564,xglm-seen 0s,26,2.2
1.7,xglm-seen 0s,26,9.3
2.9,xglm-seen 0s,26,12.3
7.5,xglm-seen 0s,26,18.4
0.564,xglm-seen 0s,27,1.1
1.7,xglm-seen 0s,27,14.7
2.9,xglm-seen 0s,27,20.1
7.5,xglm-seen 0s,27,24.6
0.564,xglm-seen 0s,28,0.2
1.7,xglm-seen 0s,28,11.8
2.9,xglm-seen 0s,28,13.6
7.5,xglm-seen 0s,28,17.5
